title,pub_status,pub_type,parc_status,parc_number,lib_status,pub_location,data_link,reference,publication_year,author,journal_title,doi,Abstract,Keywords,importance,comments,PDF_in_Drive
Global Biogeography Of Coral Recruitment: Tropical Decline And Subtropical Increase,PUBLISHED,,ASSIGNED,PARC-0149,UPLOADED,https://doi.org/10.3354/meps12980,https://www.int-res.com/abstracts/meps/v621/p1-17/,NA,2019,"Price, Nn; Muko, S; Legendre, L; Steneck, R; van Oppen, Mjh; Albright, R; Ang Jr, P; Carpenter, Rc; Chui, Apy; Fan, Ty; Gates, Rd; Harii, S; Kitano, H; Kurihara, H; Mitarai, S; Padilla-Gami√±o, Jl; Sakai, K; Suzuki, G; Edmunds, Pj",Marine Ecology Progress Series,10.3354/meps12980,,,,Some supplemental information available | PARC number originally listed without the 0,
The Influence Of Habitat And Adults On The Spatial Distribution Of Juvenile Corals,PUBLISHED,,ASSIGNED,PARC-0150,UPLOADED,https://doi.org/doi: 10.1111/ecog.04520,http://dx.doi.org/10.5061/dryad.xxxxx,NA,2019,"Pedersen, Nicole E.; Edwards, Clinton B.; Eynaud, Yoan; Gleason, Arthur C. R.; Smith, Jennifer E.; Sandin, Stuart A.",Ecography,10.1111/ecog.04520,,,,Some supporting information available,
Parasites In Marine Food Webs,PUBLISHED,,ASSIGNED,PARC-0151,UPLOADED,https://oxford.universitypressscholarship.com/view/10.1093/oso/9780198821632.001.0001/oso-9780198821632-chapter-2,-,NA,2020,"McLaughlin, John P; Morton, Dana N; Lafferty, Kevin D",Marine Disease Ecology,NA,,,,Book Chapter | PARC number originally listed without the 0,
Impacts Of Rodent Eradication On Seed Predation And Plant Community Biomass On A Tropical Atoll,PUBLISHED,,ASSIGNED,PARC-0159,UPLOADED,https://doi.org/10.1111/btp.12864,-,NA,2021,"Miller Ter Kuile, Ana; Orr, Devyn; Bui, An; Dirzo, Rodolfo; Klope, Maggie; McCauley, Douglas; Motta, Carina; Young, Hillary",Biotropica,10.1111/btp.12864,,,,-,
Effects Of Consumer Surface Sterilization On Diet Dna Metabarcoding Data Of Terrestrial Invertebrates In Natural Environments And Feeding Trials,PUBLISHED,,ASSIGNED,PARC-0160,UPLOADED,https://onlinelibrary.wiley.com/doi/10.1002/ece3.7968,https://onlinelibrary.wiley.com/doi/10.1002/ece3.7968,NA,2021,"Miller Ter Kuile, Ana; Apigo, Austen; Young, Hillary S.",Ecology and Evolution,10.1002/ece3.7968,,,,NA,
Predator-prey interactions of terrestrial invertebrates are determined by predator body size and species identity.,SUBMITTED,,ASSIGNED,PARC-0161,INCOMPLETE,https://pubmed.ncbi.nlm.nih.gov/35060625/,https://zenodo.org/record/5576593#.YgbafWCIb3U,"Miller-Ter Kuile A, Apigo A, Bui A, DiFiore B, Forbes ES, Lee M, Orr D, Preston DL, Behm R, Bogar T, Childress J, Dirzo R, Klope M, Lafferty KD, McLaughlin J, Morse M, Motta C, Park K, Plummer K, Weber D, Young R, Young H. Predator-prey interactions of terrestrial invertebrates are determined by predator body size and species identity. Ecology. 2022 Jan 21:e3634. doi: 10.1002/ecy.3634. Epub ahead of print. PMID: 35060625.",2022,"Miller-Ter Kuile A, Apigo A, Bui A, DiFiore B, Forbes ES, Lee M, Orr D, Preston DL, Behm R, Bogar T, Childress J, Dirzo R, Klope M, Lafferty KD, McLaughlin J, Morse M, Motta C, Park K, Plummer K, Weber D, Young R, Young H",Ecology, 10.1002/ecy.3634 ,"Predator-prey interactions shape ecosystems and can help maintain biodiversity. However, for many of the earth's most biodiverse and abundant organisms, including terrestrial arthropods, these interactions are difficult or impossible to observe directly with traditional approaches. Based on previous theory, it is likely that predator-prey interactions for these organisms are shaped by a combination of predator traits, including body size and species-specific hunting strategies. In this study, we combined diet DNA metabarcoding data of 173 individual invertebrate predators from nine species (a total of 305 individual predator-prey interactions) with an extensive community body size dataset of a well-described invertebrate community to explore how predator traits and identity shape interactions. We found that 1) mean size of prey families in the field usually scaled with predator size, with species-specific variation to a general size scaling relationship (exceptions likely indicating scavenging or feeding on smaller life stages). We also found that 2) although predator hunting traits, including web and venom use, are thought to shape predator-prey interaction outcomes, predator identity more strongly influenced our indirect measure of the relative size of predators and prey (predator:prey size ratios) than either of these hunting traits. Our findings indicate that predator body size and species identity are important in shaping trophic interactions in invertebrate food webs and could help predict how anthropogenic biodiversity change will influence terrestrial invertebrates, the earth's most diverse animal taxonomic group. ",Allometry; DNA metabarcoding; arthropod; centipede; hunting strategy; insect; spider,,,
"Decadal Stability of Coral Reef Benthic Communities on Palmyra Atoll, Central Pacific, Through Two Bleaching Events",SUBMITTED,,ASSIGNED,PARC-0162,INCOMPLETE,,,,2021,,,,,,,,
El Niño-Southern Oscillation and tropical Pacific climate during the last millennium,PUBLISHED,,ASSIGNED,PARC-0001,UPLOADED,https://doi.org/10.1038/nature01779,-,"Cobb, K.M., C.D. Charles, H. Cheng and R.L. Edwards 2003. El Niño-Southern Oscillation and tropical Pacific climate during the last millennium. Nature 424: 271-276. ",2003,"Cobb, Kim M.; Charles, Christopher D.; Cheng, Hai; Edwards, R. Lawrence",Nature,10.1038/nature01779,,,,-,
Microbial ecology of four coral atolls in the northern Line Island,PUBLISHED,,ASSIGNED,PARC-0009,UPLOADED,https://doi.org/10.1371/journal.pone.0001584,http://www.theseed. org/DinsdaleSupplementalMaterial/,NA,2008,"Dinsdale, Elizabeth A.; Pantos, Olga; Smriga, Steven; Edwards, Robert A.; Angly, Florent; Wegley, Linda; Hatay, Mark; Hall, Dana; Brown, Elysa; Haynes, Matthew; Krause, Lutz; Sala, Enric; Sandin, Stuart A.; Thurber, Rebecca Vega; Willis, Bette L.; Azam, Farooq; Knowlton, Nancy; Rohwer, Forest",PLoS ONE,10.1371/journal.pone.0001584,,,,"""All metagenomic data is held at http://scums.sdsu.edu.au, an open access website. Data are being released through SEED platform (http://www.theseed.org) and GenBank short read database. SEED accession numbers: Kingman microbial-4440037.3, Palmyra microbial-4440039.3, Tabuaeran microbial–4440279.3, Kiritimati microbial–4440041.3, Kingman viral-4440036.3, Palmyra viral-4440040.3, Tabuaeran viral4440280.3 and Kiritimati viral -4440038.3. Genbank accession numbers: Kingman microbial-28343, Palmyra microbial-28363, Tabuaeran microbial–28367, Kiritimati microbial–28347, Kingman viral-28345, Palmyra viral-28365, Tabuaeran viral-28369 and Kiritimati viral-28349. Direct access to data from these metagenomes is available at http://www.theseed.org/DinsdaleSupplementalMaterial/.""",
"Behavior of melon-headed whales, Peponocephala electra, near oceanic islands",PUBLISHED,,ASSIGNED,PARC-0022,UPLOADED,http://doi.wiley.com/10.1111/j.1748-7692.2009.00281.x,-,NA,2009,"Brownell Jr., Robert L.; Ralls, Katherine; Baumann-Pickering, Simone; Poole, M. Michael",Marine Mammal Science,10.1111/j.1748-7692.2009.00281.x,,,,-,
Application of the littoral cell concept to managing a protected atoll: Palmyra Atoll National Wildlife Reserve,PUBLISHED,,ASSIGNED,PARC-0024,UPLOADED,https://doi.org/doi:10.1016/j.ocecoaman.2009.10.007,-,NA,2009,"Collen, JD; Gardner, JPA; Garton, DW",Ocean & Coastal Management,10.1016/j.ocecoaman.2009.10.007,,,,No data availability reported,
Shoreline changes and natural sediment redistribution at Palmyra Atoll,PUBLISHED,,ASSIGNED,PARC-0025,UPLOADED,https://doi.org/10.2112/08-1007.1,-,NA,2009,"Collen, J. D.; Garton, D. W.; Gardner, J. P. A.",Journal of Coastal Research,10.2112/08-1007.1,,,,Library info not verified,
"Distribution, size frequency, and sex ratios of blacktip reef sharks Carcharhinus melanopterus at Palmyra Atoll: a predator-dominated ecosystem",PUBLISHED,,ASSIGNED,PARC-0028,UPLOADED,http://doi.org/10.1111/j.1095-8649.2009.02329.x,-,NA,2009,"Papastamatiou, Y.P.; Caselle, J.E.; Friedlander, A.M.; Lowe, C.G.",Journal of Fish Biology,10.1111/j.1095-8649.2009.02329.x,,,,-,
Scale-dependent effects of habitat on movements and path structure of reef sharks at a predator-dominated ecosystem,PUBLISHED,,ASSIGNED,PARC-0029,UPLOADED,https://www.ncbi.nlm.nih.gov/pubmed/19449694,https://www.ncbi.nlm.nih.gov/pubmed/19449694,NA,2009,"Papastamatiou, Yannis P; Lowe, Christopher G; Caselle, Jennifer E; Friedlander, Alan M",Ecology,10.1890/08-0491.1,,,,Library info not verified,
"An observation of mating in free-ranging blacktip reef sharks, Carcharhinus melanopterus",PUBLISHED,,ASSIGNED,PARC-0032,UPLOADED,http://www.bioone.org/doi/10.2984/64.2.349,-,NA,2010,"McCauley, Douglas J.; Papastamatiou, Yannis P.; Young, Hillary S.",Pacific Science,10.2984/64.2.349,,,,No relevant supplementary data (observation report),
Long term movement patterns and trophic ecology of blacktip reef sharks (Carcharhinus melanopterus) at Palmyra Atoll,PUBLISHED,,ASSIGNED,PARC-0033,UPLOADED,http://dx.doi.org/10.1016/j.jembe.2010.02.009,http://dx.doi.org/10.1016/j.jembe.2010.02.009,NA,2010,"Papastamatiou, Yannis P.; Friedlander, Alan M.; Caselle, Jennifer E.; Lowe, Christopher G.",Journal of Experimental Marine Biology and Ecology,10.1016/j.jembe.2010.02.009,,,,Some supporting information noted as available,
"Chapter 5: Prey release, trophic cascades, and phase shifts in tropical nearshore marine ecosystems",PUBLISHED,,ASSIGNED,PARC-0034,UPLOADED,"https://books.google.com/books?hl=en&lr=&id=tjOT8KJ6mF8C&oi=fnd&pg=PA71&dq=.+Chapter+5:+Prey+release,+trophic+cascades,+and+phase+shifts+in+tropical+nearshore+marine+ecosystems&ots=swvDdvWeEE&sig=-zK9gskUjOnPjXVb42NWvmJOgJs#v=onepage&q=Chapter%205%3A%20Prey%20release%2C%20trophic%20cascades%2C%20and%20phase%20shifts%20in%20tropical%20nearshore%20marine%20ecosystems&f=false",-,"Sandin, S.A., S.M. Walsh, J.B.C. Jackson 2010. Chapter 5: Prey release, trophic cascades, and phase shifts in tropical nearshore marine ecosystems. In: J. Terborgh and J.A. Estes (Eds) Trophic Cascades: Predators, Prey, and the Changing Dynamics of Nature, Island Press, pp. 71-90. {PARC-0034}",2010,"Sandin, S.A., S.M. Walsh, J.B.C. Jackson","Trophic Cascades: predators, prey, and the changing dynamics of nature",,,,,,
Cascading effects of a plant community shift across ecosystem boundaries,DISSERTATION,Thesis,ASSIGNED,PARC-0036,UPLOADED,https://purl.stanford.edu/vw007np9389,-,NA,2010,"Young, Hillary Suzanne",Thesis,NA,,,,-,
Echolocation signals of a beaked whale at Palmyra Atoll,PUBLISHED,,ASSIGNED,PARC-0039,UPLOADED,https://doi.org/10.1121/1.3409478,-,NA,2010,"Baumann-Pickering, Simone; Wiggins, Sean M.; Roth, Ethan H.; Roch, Marie A.; Schnitzler, Hans-Ulrich; Hildebrand, John A.",The Journal of the Acoustical Society of America,10.1121/1.3409478,,,,-,
Effects of seabird derived subsidies on aquatic ecosystems,PUBLISHED,,ASSIGNED,PARC-0041,UPLOADED,https://doi.org/10.1093/acprof:osobl/9780199735693.003.0008,-,"Young, H.S., L. Hurrey, G. Kolb and W.B. Anderson 2011. Effects of seabird derived subsidies on aquatic ecosystems. In: C.P. Mulder, W.B. Anderson, D. Towns, and P. Bellingham (Eds) Seabird Islands: Ecology, Invasion and Restoration, Chapter 8. Oxford University Press. {PARC-0041}",2011,"Young, H.S., L. Hurrey, G. Kolb and W.B. Anderson","Seabird Islands: Ecology, Invasion, and Restoration",10.1093/acprof:osobl/9780199735693.001.0001,,,,Some supporting information available | PARC number originally listed without the 0,
"Abundance, diversity, and activity of microbial assemblages associated with coral reef fish guts and feces",PUBLISHED,,ASSIGNED,PARC-0045,UPLOADED,https://academic.oup.com/femsec/article-lookup/doi/10.1111/j.1574-6941.2010.00879.x,http://www.dna-surveillance.auckland.ac.nz/,NA,2010,"Smriga, Steven; Sandin, Stuart A.; Azam, Farooq",FEMS Microbiology Ecology,10.1111/j.1574-6941.2010.00879.x,,,,"PARC number originally listed without the 0 | Previous title: Coral reef fish feces and gut associated microbial assemblages | All 16S rRNA gene sequences derived from this study
were submitted to the GenBank database. Accession numbers are FJ653927–FJ653974 for sequences derived from
A. nigricans, FJ653975–FJ654018 for C. sordidus, FJ654019–
FJ654062 for L. bohar, and FJ654063–FJ654065 for milkfish.",
"The coconut palm, Cocos nucifera, impacts forest composition and soil characteristics at Palmya Atoll, Central Pacific Ocean",PUBLISHED,,ASSIGNED,PARC-0052,UPLOADED,https://doi.org/ 10.1111/j.1654-1103.2010.01219.x,https://doi.org/ 10.1111/j.1654-1103.2010.01219.x,NA,2010,"Young, Hillary S.; Raab, Ted K.; McCauley, Douglas J.; Briggs, Amy A.; Dirzo, Rodolfo",Journal of Vegetation Science,10.1111/j.1654-1103.2010.01219.x,,,,Library info not verified,
Human impacts on the species-area relationship in reef fish assemblages,PUBLISHED,,ASSIGNED,PARC-0053,UPLOADED,https://doi.org/10.1111/j.1461-0248.2007.01076.x,http://www.blackwell-synergy.com/doi/full/10.1111/,NA,2007,"Tittensor, Derek P.; Micheli, Fiorenza; Nystr√∂m, Magnus; Worm, Boris",Ecology Letters,10.1111/j.1461-0248.2007.01076.x,,,,Some supporting information available,
"Near-surface mixing and pronounced deep-water stratification in a compartmentalized, human-disturbed atoll lagoon system",PUBLISHED,,ASSIGNED,PARC-0057,UPLOADED,https://doi.org/10.1007/s00338-010-0701-7,-,NA,2011,"Gardner, J. P. A.; Garton, D. W.; Collen, J. D.",Coral Reefs,10.1007/s00338-010-0701-7,,,,PARC number originally listed without the 0,
"Spatial and temporal patterns of scleractinian coral, soft coral and zoanthid disease on a remote near-pristine coral reef",PUBLISHED,,ASSIGNED,PARC-0060,UPLOADED,https://doi.org/10.2112/08-1007.1,-,NA,2011,"Williams, Gareth J; Knapp, Ingrid S; Aeby, Greta S; Davy, Simon K",Diseases of Aquatic Organisms,10.3354/dao02323,,,,Library info not verified,
Records of non-indigenous marine species at Palmyra Atoll in the U.S. Line Islands,PUBLISHED,,ASSIGNED,PARC-0062,UPLOADED,https://doi.org/10.1017/S1755267211000078,-,NA,2011,"Knapp, I.S.; Godwin, L.S.; Smith, J.E.; Williams, C.J.; Bell, J.J.",Marine Biodiversity Records,10.1017/S1755267211000078,,,,Library info not verified,
Effects of diagenesis on paleoclimate: Reconstructions from modern and young fossil corals,PUBLISHED,,ASSIGNED,PARC-0067,UPLOADED,https://doi.org/10.1016/j.gca.2011.08.026,-,NA,2011,"Sayani, Hussein R.; Cobb, Kim M.; Cohen, Anne L.; Elliott, W. Crawford; Nurhati, Intan S.; Dunbar, Robert B.; Rose, Kathryn A.; Zaunbrecher, Laura K.",Geochimica et Cosmochimica Acta,10.1016/j.gca.2011.08.026,,,,-,
"Arthropod surveys on Palmyra Atoll, Line Islands, and insights into the decline of the natirve tree Pisonia grandis (Nyctaginaceae)",PUBLISHED,,ASSIGNED,PARC-0070,UPLOADED,http://www.bioone.org/doi/abs/10.2984/1534-6188%282007%2961%5B485%3AASOPAL%5D2.0.CO%3B2,-,NA,2007,"Handler, Alex T.; Gruner, Daniel S.; Haines, William P.; Lange, Matthew W.; Kaneshiro, Kenneth Y.",Pacific Science,10.2984/1534-6188(2007)61[485:ASOPAL]2.0.CO;2,,,,Need link and pdf,
Coral records of central tropical Pacific radiocarbon variability during the last millennium,PUBLISHED,,ASSIGNED,PARC-0071,UPLOADED,https://doi.org/doi:10.1029/2009PA001788,-,NA,2010,"Zaunbrecher, Laura K.; Cobb, Kim M.; Beck, J. Warren; Charles, Christopher D.; Druffel, Ellen R. M.; Fairbanks, Richard G.; Griffin, Sheila; Sayani, Hussein R.",Paleoceanography,10.1029/2009PA001788,,,,-,
"Predators, facilitators, or both?  Re-evaluating an apparent predator-prey interaction",PUBLISHED,,ASSIGNED,PARC-0075,UPLOADED,https://doi.org/10.3354/meps09162,-,NA,2011,"Madin, Emp; Madin, Js",Marine Ecology Progress Series,10.3354/meps09162,,,,-,
Analyses of DNA obtained from shells and brine-preserved meat: giant clams (Tridacna maxima) from the central Pacific Ocean,PUBLISHED,,ASSIGNED,PARC-0078,UPLOADED,http://www.int-res.com/abstracts/meps/v453/p297-301/,-,NA,2012,"Gardner, Jpa; Boesche, C; Meyer, Jm; Wood, Ar",Marine Ecology Progress Series,10.3354/meps09625,,,,No data availability reported,
"Area restricted searching in manta rays, and their response to spatial scale in lagoon habitats",PUBLISHED,,ASSIGNED,PARC-0083,UPLOADED,http://www.int-res.com/abstracts/meps/v456/p233-244/,-,NA,2012,"Papastamatiou, Yp; DeSalles, Pa; McCauley, Dj",Marine Ecology Progress Series,10.3354/meps09721,,,,Data held in other papers or unpublished,
Ecology and Conservation of Marine Turtles in a Central Pacific Foraging Ground,PUBLISHED,,ASSIGNED,PARC-0088,UPLOADED,http://www.bioone.org/doi/full/10.2744/CCB-1014.1,-,NA,2013,"Sterling, Eleanor J.; McFadden, Katherine W.; Holmes, Katherine E.; Vintinner, Erin C.; Arengo, Felicity; Naro-Maciel, Eugenia",Chelonian Conservation and Biology,10.2744/CCB-1014.1,,,,-,
The roles of productivity and ecosystem size in determining food-chain length in tropical terrestrial ecosystems,PUBLISHED,,ASSIGNED,PARC-0091,UPLOADED,https://pubmed.ncbi.nlm.nih.gov/23687895/,https://pubmed.ncbi.nlm.nih.gov/23687895/,NA,2013,"Young, Hillary S; McCauley, Douglas J; Dunbar, Robert B; Hutson, Michael S; Ter-Kuile, Ana Miller; Dirzo, Rodolfo",Ecology,10.1890/12-0729.1,,,,"Does not appear to be the completed version, some comments are visible | MSc Dissertation",
"Predicting connectivity of green turtles at Palmyra Atoll, Central Pacific: A focus on mtDNA and dispersal modeling",PUBLISHED,,ASSIGNED,PARC-0099,UPLOADED,http://dx.doi.org/10.1098/rsif.2013.0888,http://dx.doi.org/10.1098/rsif.2013.0888,NA,2014,"Naro-Maciel, Eugenia; Gaughran, Stephen J.; Putman, Nathan F.; Amato, George; Arengo, Felicity; Dutton, Peter H.; McFadden, Katherine W.; Vintinner, Erin C.; Sterling, Eleanor J.",Journal of The Royal Society Interface,10.1098/rsif.2013.0888,,,,Some supporting information available,
Positive and Negative Effects of a Threatened Parrotfish on Reef Ecosystems,PUBLISHED,,ASSIGNED,PARC-0105,UPLOADED,https://doi.org/doi:10.1111/cobi.12314,https://doi.org/doi:10.1111/cobi.12314,NA,2014,"Mccauley, Douglas J.; Young, Hillary S.; Guevara, Roger; Williams, Gareth J.; Power, Eleanor A.; Dunbar, Robert B.; Bird, Douglas W.; Durham, William H.; Micheli, Fiorenza",Conservation Biology,10.1111/cobi.12314,,,,Some supporting information available,
"New Records of Hyachelia tortugae Barnard, 1967 and H. lowryi Serejo and Sittrop, 2009 (Amphipoda: Gammaridea: Hyalidae) from Palmyra Atoll National Wildlife Refuge: Co-occurrence on Pacific Green Turtles (Chelonia mydas). American Museum Novitates. {PARC- 0106}.",PUBLISHED,,ASSIGNED,PARC-0106,UPLOADED,http://www.bioone.org/doi/full/10.1206/3809.1,-,NA,2014,"Yabut, Mia G.; Lazo-Wasem, Eric A.; Sterling, Eleanor J.; G√≥mez, Andr√©s",American Museum Novitates,10.1206/3809.1,,,,-,
Potential impacts of historical disturbance on green turtle health in the unique and protected marine ecosystem of Palmyra Atoll (Central Pacific),PUBLISHED,,ASSIGNED,PARC-0108,UPLOADED,https://dx.doi.org/10.1016/j.marpolbul.2014.10.012,-,NA,2014,"McFadden, Katherine W; G√≥mez, Andr√©s; Sterling, Eleanor J; Naro-Maciel, Eugenia",Marine pollution bulletin,10.1016/j.marpolbul.2014.10.012,,,,PARC number originally listed without the 0,
"First records of the sicklefin lemon shark, Negaprion acutidens, at Palmyra Atoll, central Pacific: a recent colonization event ",PUBLISHED,,ASSIGNED,PARC-0110,UPLOADED,http://doi.org/doi:10.1017/S175526721400116X,-,NA,2014,"Papastamatiou, Yannis P.; Wood, Chelsea L.; Bradley, Darcy; McCauley, Douglas J.; Pollock, Amanda L.; Caselle, Jennifer E.",Marine Biodiversity Records,10.1017/S175526721400116X,,,,All mentioned observations have data provided in the paper itself,
Field Observations of Wave-Driven Circulation over Spur and Groove Formations on a Coral Reef,PUBLISHED,,ASSIGNED,PARC-0113,UPLOADED,"https://doi.org/10.1002/
2014JC010464",-,NA,2015,"Rogers, Justin S.; Monismith, Stephen G.; Dunbar, Robert B.; Koweek, David",Journal of Geophysical Research: Oceans,10.1002/2014JC010464,,,,-,
"Cryptic species obscure introduction pathway of the blue Caribbean sponge (Haliclona (Soestella) caerulea), (order: Haplosclerida) to Palmyra Atoll, Central Pacific",PUBLISHED,,ASSIGNED,PARC-0118,UPLOADED,https://doi.org/10.7717/peerj.1170,https://peerj.com/articles/1170/#supplemental-information,NA,2015,"Knapp, Ingrid S; Forsman, Zac H; Williams, Gareth J; Toonen, Robert J; Bell, James J",PeerJ,10.7717/peerj.1170/supp-1,,,,-,
Stable isotopes in barnacles as a tool to understand green sea turtle (Chelonia mydas) regional movement patterns,PUBLISHED,,ASSIGNED,PARC-0119,UPLOADED,https://doi.org/doi:10.5194/bgd-12-4655-2015,http://dx.doi.org/10.5194/bg-12-7081-2015-supplement,NA,2015,"Detjen, M.; Sterling, E.; G√≥mez, A.",Biogeosciences,10.5194/bg-12-7081-2015,,,,Some supporting information available,
Ecology of a vulnerable shorebird across a gradient of habitat alteration: Bristle-thighed Curlews (Numenius tahitiensis) (Aves: Charadriiformes) on Palmyra Atoll,PUBLISHED,,ASSIGNED,PARC-0121,UPLOADED,https://doi.org/10.2984/70.2.3,http://www.Bio One.org/,NA,2016,"Guerra, Ana Sof√≠a; Micheli, Fiorenza; Wood, Chelsea L.",Pacific Science,10.2984/70.2.3,,,,Check Bio One paper site for supplemental info,
Stable isotope analysis as an early monitoring tool for community-scale effects of rat eradication,PUBLISHED,,ASSIGNED,PARC-0122,UPLOADED,https://doi.org/10.1111/rec.12511,http://onlinelibrary.wiley.com/doi/10.1111/rec.12511/suppinfo,NA,2017,"Nigro, Katherine M.; Hathaway, Stacie A.; Wegmann, Alex S.; Miller‚Äêter Kuile, Ana; Fisher, Robert N.; Young, Hillary S.",Restoration Ecology,10.1111/rec.12511,,,,PARC number originally listed without the 0,
Thermodynamics and hydrodynamics in an atoll reef system and their influence on coral cover,PUBLISHED,,ASSIGNED,PARC-0124,UPLOADED,https://doi.org/ doi:10.1002/lno.10365,https://doi.org/ doi:10.1002/lno.10365,NA,2016,"Rogers, Justin S.; Monismith, Stephen G.; Koweek, David A.; Torres, Walter I.; Dunbar, Robert B.",Limnology and Oceanography,10.1002/lno.10365,,,,Some supporting information available,
Cascading community and ecosystem consequences of introduced palms in Pacific Islands,PUBLISHED,,ASSIGNED,PARC-0126,UPLOADED,https://doi.org/10.1139/cjz-2016-0107,-,NA,2017,"Young, Hillary S; Miller ter-Kuile, Ana; McCauley, Douglas; Dirzo, Rodolfo",Canadian Journal of Zoology,10.1139/cjz-2016-0107,,,,,
Predation risk influences feeding rates but competition structures space use for a common Pacific parrotfish,PUBLISHED,,ASSIGNED,PARC-0134,UPLOADED,https://doi.org/10.1007/s00442-017-3857-9,http://dx.doi.org/10.1007/s00442-017-3857-9,NA,2017,"Davis, Kathryn; Carlson, Peter M; Bradley, Darcy; Warner, Robert R; Caselle, Jennifer E",Oecologia,10.1007/s00442-017-3857-9,,,,Some supporting information available,
Local extinction of the Asian tiger mosquito (Aedes albopictus) following rat eradication on Palmyra Atoll. Biology Letters.14 20170743,PUBLISHED,,ASSIGNED,PARC-0141,UPLOADED,https://doi.org/10.1098/rsbl.2017.0743,https://figshare.com/collections/Supplementary_material_from_Local_extinction_of_the_Asian_tiger_mosquito_i_Aedes_albopictus_i_following_rat_eradication_on_Palmyra_Atoll_/4007599,NA,2018,"Lafferty, Kevin D.; McLaughlin, John P.; Gruner, Daniel S.; Bogar, Taylor A.; Bui, An; Childress, Jasmine N.; Espinoza, Magaly; Forbes, Elizabeth S.; Johnston, Cora A.; Klope, Maggie; Miller-ter Kuile, Ana; Lee, Michelle; Plummer, Katherine A.; Weber, David A.; Young, Ronald T.; Young, Hillary S.",Biology Letters,10.1098/rsbl.2017.0743,,,,Some supporting information available | PARC number originally listed without the 0,
"Marine protected areas and migratory species: residency of green turtles at Palmyra Atoll, Central Pacific",PUBLISHED,,ASSIGNED,PARC-0144,UPLOADED, https://doi.org/10.3354/esr00922,https://www.int-res.com/abstracts/esr/v37/p165-182/,NA,2018,"Naro-Maciel, E; Arengo, F; Galante, P; Vintinner, E; Holmes, Ke; Balazs, G; Sterling, Ej",Endangered Species Research,10.3354/esr00922,,,,Some supplementary information available| PARC number originally listed without the 0,
"Parasitic nematodes of marine fishes from Palmyra Atoll, East Indo-Pacific, including a new species of Spinitectus (Nematoda, Cystidicolidae)",PUBLISHED,,ASSIGNED,PARC-0154,UPLOADED,https://doi.org/10.3897/zookeys.892.38447,-,"González-Solís D, Soler-Jiménez LC, Aguirre-Macedo ML, Mclaughlin JP, Shaw JC, James AK, Hechinger RF, Kuris AM, Lafferty KD, Vidal-Martínez VM (2019) Parasitic nematodes of marine fishes from Palmyra Atoll, East Indo-Pacific, including a new species of Spinitectus (Nematoda, Cystidicolidae). ZooKeys 892: 1-26",2019,"González-Solís D, Soler-Jiménez LC, Aguirre-Macedo ML, Mclaughlin JP, Shaw JC, James AK, Hechinger RF, Kuris AM, Lafferty KD, Vidal-Martínez VM",ZooKeys,doi.org/10.3897/zookeys.892.38447,,,, PARC number originally listed without the 0,
Possible control of acute outbreaks of a marine fungal pathogen by nominally herbivorous tropical reef fish,PUBLISHED,,ASSIGNED,PARC-0152,DOWNLOADED,https://doi.org/10.1007/s00442-020-04697-7,-,"Neal, B.P., Honisch, B., Warrender, T., Williams, G.J., Work, T.M. and Price, N.N., 2020. Possible control of acute outbreaks of a marine fungal pathogen by nominally herbivorous tropical reef fish. Oecologia, 193(3), pp.603-617.",2020,"Neal, B.P., Honisch, B., Warrender, T., Williams, G.J., Work, T.M. and Price, N.N.",Oecologia,https://doi.org/10.1007/s00442-020-04697-7,,,,,
Diel temperature and pH variability scale with depth across diverse coral reef habitats,PUBLISHED,,ASSIGNED,PARC-0153,DOWNLOADED,https://doi.org/doi:10.1002/lol2.10129,,"Cyronak, T., Takeshita, Y., Courtney, T.A., DeCarlo, E.H., Eyre, B.D., Kline, D.I., Martz, T., Page, H., Price, N.N., Smith, J. and Stoltenberg, L., 2020. Diel temperature and pH variability scale with depth across diverse coral reef habitats. Limnology and Oceanography Letters, 5(2), pp.193-203.",2020,"Cyronak, T., Takeshita, Y., Courtney, T.A., DeCarlo, E.H., Eyre, B.D., Kline, D.I., Martz, T., Page, H., Price, N.N., Smith, J. and Stoltenberg, L.",Limnology and Oceanography Letters,https://doi.org/doi:10.1002/lol2.10129,,,,-,
Dermal denticle assemblages in coral reef sediments correlate with conventional shark surveys,PUBLISHED,,ASSIGNED,PARC-0155,UPLOADED,https://doi.org/10.1111/2041-210X.13346,-,"Dillon, E.M., Lafferty, K.D., McCauley, D.J., Bradley, D., Norris, R.D., Caselle, J.E., DiRenzo, G.V., Gardner, J.P. and O'Dea, A., 2020. Dermal denticle assemblages in coral reef sediments correlate with conventional shark surveys. Methods in Ecology and Evolution, 11(3), pp.362-375.",2020,"Dillon, E.M., Lafferty, K.D., McCauley, D.J., Bradley, D., Norris, R.D., Caselle, J.E., DiRenzo, G.V., Gardner, J.P. and O'Dea, A",Methods in Ecology and Evolution,https://doi.org/10.1111/2041-210X.13346,,,,,
